od620,row,column,hour,testid,media,taxa,well,experiment,hour.exp,sp_id,bac_sp,sp_full
0.368,B,12,19,375,1%-Keratin,Sp.2,B12,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.375,C,12,19,375,1%-Keratin,Sp.3,C12,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.377,D,12,19,375,1%-Keratin,blank,D12,1,19,NA,NA,NA - NA
0.49,A,7,19,375,13d-Keratin,Sp.1,A7,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.37,B,7,19,375,13d-Keratin,Sp.2,B7,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.384,C,7,19,375,13d-Keratin,Sp.3,C7,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.355,D,7,19,375,13d-Keratin,blank,D7,1,19,NA,NA,NA - NA
0.494,A,8,19,375,13d-Keratin,Sp.1,A8,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.372,B,8,19,375,13d-Keratin,Sp.2,B8,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.397,C,8,19,375,13d-Keratin,Sp.3,C8,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.359,D,8,19,375,13d-Keratin,blank,D8,1,19,NA,NA,NA - NA
0.495,A,9,19,375,13d-Keratin,Sp.1,A9,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.368,B,9,19,375,13d-Keratin,Sp.2,B9,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.4,C,9,19,375,13d-Keratin,Sp.3,C9,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.363,D,9,19,375,13d-Keratin,blank,D9,1,19,NA,NA,NA - NA
0.512,A,1,19,375,5d-Keratin,Sp.1,A1,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.348,B,1,19,375,5d-Keratin,Sp.2,B1,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.406,C,1,19,375,5d-Keratin,Sp.3,C1,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.345,D,1,19,375,5d-Keratin,blank,D1,1,19,NA,NA,NA - NA
0.482,A,2,19,375,5d-Keratin,Sp.1,A2,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.327,B,2,19,375,5d-Keratin,Sp.2,B2,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.374,C,2,19,375,5d-Keratin,Sp.3,C2,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.326,D,2,19,375,5d-Keratin,blank,D2,1,19,NA,NA,NA - NA
0.479,A,3,19,375,5d-Keratin,Sp.1,A3,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.332,B,3,19,375,5d-Keratin,Sp.2,B3,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.382,C,3,19,375,5d-Keratin,Sp.3,C3,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.331,D,3,19,375,5d-Keratin,blank,D3,1,19,NA,NA,NA - NA
0.49,A,4,19,375,9d-Keratin,Sp.1,A4,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.346,B,4,19,375,9d-Keratin,Sp.2,B4,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.361,C,4,19,375,9d-Keratin,Sp.3,C4,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.337,D,4,19,375,9d-Keratin,blank,D4,1,19,NA,NA,NA - NA
0.496,A,5,19,375,9d-Keratin,Sp.1,A5,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.34,B,5,19,375,9d-Keratin,Sp.2,B5,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.347,C,5,19,375,9d-Keratin,Sp.3,C5,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.346,D,5,19,375,9d-Keratin,blank,D5,1,19,NA,NA,NA - NA
0.509,A,6,19,375,9d-Keratin,Sp.1,A6,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.368,B,6,19,375,9d-Keratin,Sp.2,B6,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.364,C,6,19,375,9d-Keratin,Sp.3,C6,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.364,D,6,19,375,9d-Keratin,blank,D6,1,19,NA,NA,NA - NA
0.254,E,1,19,375,M9,blank,E1,1,19,NA,NA,NA - NA
0.257,F,1,19,375,M9,Sp.1,F1,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.258,G,1,19,375,M9,Sp.2,G1,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.247,H,1,19,375,M9,Sp.3,H1,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.286,E,2,19,375,M9,blank,E2,1,19,NA,NA,NA - NA
0.331,F,2,19,375,M9,Sp.1,F2,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.256,G,2,19,375,M9,Sp.2,G2,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.276,H,2,19,375,M9,Sp.3,H2,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.296,E,3,19,375,M9,blank,E3,1,19,NA,NA,NA - NA
0.321,F,3,19,375,M9,Sp.1,F3,1,19,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.287,G,3,19,375,M9,Sp.2,G3,1,19,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.277,H,3,19,375,M9,Sp.3,H3,1,19,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.36,A,10,20,375,1%-Keratin,Sp.1,A10,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.365,B,10,20,375,1%-Keratin,Sp.2,B10,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.381,C,10,20,375,1%-Keratin,Sp.3,C10,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.366,D,10,20,375,1%-Keratin,blank,D10,1,20,NA,NA,NA - NA
0.364,A,11,20,375,1%-Keratin,Sp.1,A11,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.363,B,11,20,375,1%-Keratin,Sp.2,B11,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.372,C,11,20,375,1%-Keratin,Sp.3,C11,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.377,D,11,20,375,1%-Keratin,blank,D11,1,20,NA,NA,NA - NA
0.375,A,12,20,375,1%-Keratin,Sp.1,A12,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.368,B,12,20,375,1%-Keratin,Sp.2,B12,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.377,C,12,20,375,1%-Keratin,Sp.3,C12,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.379,D,12,20,375,1%-Keratin,blank,D12,1,20,NA,NA,NA - NA
0.491,A,7,20,375,13d-Keratin,Sp.1,A7,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.37,B,7,20,375,13d-Keratin,Sp.2,B7,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.4,C,7,20,375,13d-Keratin,Sp.3,C7,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.355,D,7,20,375,13d-Keratin,blank,D7,1,20,NA,NA,NA - NA
0.494,A,8,20,375,13d-Keratin,Sp.1,A8,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.372,B,8,20,375,13d-Keratin,Sp.2,B8,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.409,C,8,20,375,13d-Keratin,Sp.3,C8,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.359,D,8,20,375,13d-Keratin,blank,D8,1,20,NA,NA,NA - NA
0.494,A,9,20,375,13d-Keratin,Sp.1,A9,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.369,B,9,20,375,13d-Keratin,Sp.2,B9,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.413,C,9,20,375,13d-Keratin,Sp.3,C9,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.366,D,9,20,375,13d-Keratin,blank,D9,1,20,NA,NA,NA - NA
0.523,A,1,20,375,5d-Keratin,Sp.1,A1,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.349,B,1,20,375,5d-Keratin,Sp.2,B1,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.417,C,1,20,375,5d-Keratin,Sp.3,C1,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.345,D,1,20,375,5d-Keratin,blank,D1,1,20,NA,NA,NA - NA
0.491,A,2,20,375,5d-Keratin,Sp.1,A2,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.329,B,2,20,375,5d-Keratin,Sp.2,B2,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.387,C,2,20,375,5d-Keratin,Sp.3,C2,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.327,D,2,20,375,5d-Keratin,blank,D2,1,20,NA,NA,NA - NA
0.489,A,3,20,375,5d-Keratin,Sp.1,A3,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.334,B,3,20,375,5d-Keratin,Sp.2,B3,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.393,C,3,20,375,5d-Keratin,Sp.3,C3,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.331,D,3,20,375,5d-Keratin,blank,D3,1,20,NA,NA,NA - NA
0.502,A,4,20,375,9d-Keratin,Sp.1,A4,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.34,B,4,20,375,9d-Keratin,Sp.2,B4,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.375,C,4,20,375,9d-Keratin,Sp.3,C4,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.338,D,4,20,375,9d-Keratin,blank,D4,1,20,NA,NA,NA - NA
0.509,A,5,20,375,9d-Keratin,Sp.1,A5,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.341,B,5,20,375,9d-Keratin,Sp.2,B5,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.361,C,5,20,375,9d-Keratin,Sp.3,C5,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.347,D,5,20,375,9d-Keratin,blank,D5,1,20,NA,NA,NA - NA
0.521,A,6,20,375,9d-Keratin,Sp.1,A6,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.369,B,6,20,375,9d-Keratin,Sp.2,B6,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.381,C,6,20,375,9d-Keratin,Sp.3,C6,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.363,D,6,20,375,9d-Keratin,blank,D6,1,20,NA,NA,NA - NA
0.252,E,1,20,375,M9,blank,E1,1,20,NA,NA,NA - NA
0.257,F,1,20,375,M9,Sp.1,F1,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.257,G,1,20,375,M9,Sp.2,G1,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.238,H,1,20,375,M9,Sp.3,H1,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.288,E,2,20,375,M9,blank,E2,1,20,NA,NA,NA - NA
0.328,F,2,20,375,M9,Sp.1,F2,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.248,G,2,20,375,M9,Sp.2,G2,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.277,H,2,20,375,M9,Sp.3,H2,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.291,E,3,20,375,M9,blank,E3,1,20,NA,NA,NA - NA
0.326,F,3,20,375,M9,Sp.1,F3,1,20,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.285,G,3,20,375,M9,Sp.2,G3,1,20,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.268,H,3,20,375,M9,Sp.3,H3,1,20,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.36,A,10,21,375,1%-Keratin,Sp.1,A10,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.363,B,10,21,375,1%-Keratin,Sp.2,B10,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.383,C,10,21,375,1%-Keratin,Sp.3,C10,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.368,D,10,21,375,1%-Keratin,blank,D10,1,21,NA,NA,NA - NA
0.365,A,11,21,375,1%-Keratin,Sp.1,A11,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.363,B,11,21,375,1%-Keratin,Sp.2,B11,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.373,C,11,21,375,1%-Keratin,Sp.3,C11,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.377,D,11,21,375,1%-Keratin,blank,D11,1,21,NA,NA,NA - NA
0.374,A,12,21,375,1%-Keratin,Sp.1,A12,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.373,B,12,21,375,1%-Keratin,Sp.2,B12,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.379,C,12,21,375,1%-Keratin,Sp.3,C12,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.38,D,12,21,375,1%-Keratin,blank,D12,1,21,NA,NA,NA - NA
0.493,A,7,21,375,13d-Keratin,Sp.1,A7,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.37,B,7,21,375,13d-Keratin,Sp.2,B7,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.411,C,7,21,375,13d-Keratin,Sp.3,C7,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.355,D,7,21,375,13d-Keratin,blank,D7,1,21,NA,NA,NA - NA
0.496,A,8,21,375,13d-Keratin,Sp.1,A8,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.373,B,8,21,375,13d-Keratin,Sp.2,B8,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.42,C,8,21,375,13d-Keratin,Sp.3,C8,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.358,D,8,21,375,13d-Keratin,blank,D8,1,21,NA,NA,NA - NA
0.492,A,9,21,375,13d-Keratin,Sp.1,A9,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.37,B,9,21,375,13d-Keratin,Sp.2,B9,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.422,C,9,21,375,13d-Keratin,Sp.3,C9,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.366,D,9,21,375,13d-Keratin,blank,D9,1,21,NA,NA,NA - NA
0.523,A,1,21,375,5d-Keratin,Sp.1,A1,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.353,B,1,21,375,5d-Keratin,Sp.2,B1,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.428,C,1,21,375,5d-Keratin,Sp.3,C1,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.349,D,1,21,375,5d-Keratin,blank,D1,1,21,NA,NA,NA - NA
0.497,A,2,21,375,5d-Keratin,Sp.1,A2,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.331,B,2,21,375,5d-Keratin,Sp.2,B2,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.4,C,2,21,375,5d-Keratin,Sp.3,C2,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.328,D,2,21,375,5d-Keratin,blank,D2,1,21,NA,NA,NA - NA
0.494,A,3,21,375,5d-Keratin,Sp.1,A3,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.331,B,3,21,375,5d-Keratin,Sp.2,B3,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.405,C,3,21,375,5d-Keratin,Sp.3,C3,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.331,D,3,21,375,5d-Keratin,blank,D3,1,21,NA,NA,NA - NA
0.519,A,4,21,375,9d-Keratin,Sp.1,A4,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.342,B,4,21,375,9d-Keratin,Sp.2,B4,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.386,C,4,21,375,9d-Keratin,Sp.3,C4,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.338,D,4,21,375,9d-Keratin,blank,D4,1,21,NA,NA,NA - NA
0.525,A,5,21,375,9d-Keratin,Sp.1,A5,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.343,B,5,21,375,9d-Keratin,Sp.2,B5,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.371,C,5,21,375,9d-Keratin,Sp.3,C5,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.347,D,5,21,375,9d-Keratin,blank,D5,1,21,NA,NA,NA - NA
0.537,A,6,21,375,9d-Keratin,Sp.1,A6,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.371,B,6,21,375,9d-Keratin,Sp.2,B6,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.39,C,6,21,375,9d-Keratin,Sp.3,C6,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.364,D,6,21,375,9d-Keratin,blank,D6,1,21,NA,NA,NA - NA
0.25,E,1,21,375,M9,blank,E1,1,21,NA,NA,NA - NA
0.255,F,1,21,375,M9,Sp.1,F1,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.247,G,1,21,375,M9,Sp.2,G1,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.235,H,1,21,375,M9,Sp.3,H1,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.293,E,2,21,375,M9,blank,E2,1,21,NA,NA,NA - NA
0.337,F,2,21,375,M9,Sp.1,F2,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.258,G,2,21,375,M9,Sp.2,G2,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.28,H,2,21,375,M9,Sp.3,H2,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.295,E,3,21,375,M9,blank,E3,1,21,NA,NA,NA - NA
0.328,F,3,21,375,M9,Sp.1,F3,1,21,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.285,G,3,21,375,M9,Sp.2,G3,1,21,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.276,H,3,21,375,M9,Sp.3,H3,1,21,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.36,A,10,22,375,1%-Keratin,Sp.1,A10,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.366,B,10,22,375,1%-Keratin,Sp.2,B10,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.386,C,10,22,375,1%-Keratin,Sp.3,C10,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.367,D,10,22,375,1%-Keratin,blank,D10,1,22,NA,NA,NA - NA
0.366,A,11,22,375,1%-Keratin,Sp.1,A11,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.364,B,11,22,375,1%-Keratin,Sp.2,B11,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.377,C,11,22,375,1%-Keratin,Sp.3,C11,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.378,D,11,22,375,1%-Keratin,blank,D11,1,22,NA,NA,NA - NA
0.377,A,12,22,375,1%-Keratin,Sp.1,A12,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.373,B,12,22,375,1%-Keratin,Sp.2,B12,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.379,C,12,22,375,1%-Keratin,Sp.3,C12,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.38,D,12,22,375,1%-Keratin,blank,D12,1,22,NA,NA,NA - NA
0.497,A,7,22,375,13d-Keratin,Sp.1,A7,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.371,B,7,22,375,13d-Keratin,Sp.2,B7,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.418,C,7,22,375,13d-Keratin,Sp.3,C7,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.356,D,7,22,375,13d-Keratin,blank,D7,1,22,NA,NA,NA - NA
0.497,A,8,22,375,13d-Keratin,Sp.1,A8,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.371,B,8,22,375,13d-Keratin,Sp.2,B8,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.429,C,8,22,375,13d-Keratin,Sp.3,C8,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.358,D,8,22,375,13d-Keratin,blank,D8,1,22,NA,NA,NA - NA
0.491,A,9,22,375,13d-Keratin,Sp.1,A9,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.371,B,9,22,375,13d-Keratin,Sp.2,B9,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.432,C,9,22,375,13d-Keratin,Sp.3,C9,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.369,D,9,22,375,13d-Keratin,blank,D9,1,22,NA,NA,NA - NA
0.523,A,1,22,375,5d-Keratin,Sp.1,A1,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.354,B,1,22,375,5d-Keratin,Sp.2,B1,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.441,C,1,22,375,5d-Keratin,Sp.3,C1,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.351,D,1,22,375,5d-Keratin,blank,D1,1,22,NA,NA,NA - NA
0.501,A,2,22,375,5d-Keratin,Sp.1,A2,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.331,B,2,22,375,5d-Keratin,Sp.2,B2,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.412,C,2,22,375,5d-Keratin,Sp.3,C2,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.329,D,2,22,375,5d-Keratin,blank,D2,1,22,NA,NA,NA - NA
0.496,A,3,22,375,5d-Keratin,Sp.1,A3,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.335,B,3,22,375,5d-Keratin,Sp.2,B3,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.414,C,3,22,375,5d-Keratin,Sp.3,C3,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.332,D,3,22,375,5d-Keratin,blank,D3,1,22,NA,NA,NA - NA
0.537,A,4,22,375,9d-Keratin,Sp.1,A4,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.345,B,4,22,375,9d-Keratin,Sp.2,B4,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.396,C,4,22,375,9d-Keratin,Sp.3,C4,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.34,D,4,22,375,9d-Keratin,blank,D4,1,22,NA,NA,NA - NA
0.545,A,5,22,375,9d-Keratin,Sp.1,A5,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.343,B,5,22,375,9d-Keratin,Sp.2,B5,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.383,C,5,22,375,9d-Keratin,Sp.3,C5,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.348,D,5,22,375,9d-Keratin,blank,D5,1,22,NA,NA,NA - NA
0.554,A,6,22,375,9d-Keratin,Sp.1,A6,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.372,B,6,22,375,9d-Keratin,Sp.2,B6,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.399,C,6,22,375,9d-Keratin,Sp.3,C6,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.364,D,6,22,375,9d-Keratin,blank,D6,1,22,NA,NA,NA - NA
0.249,E,1,22,375,M9,blank,E1,1,22,NA,NA,NA - NA
0.259,F,1,22,375,M9,Sp.1,F1,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.252,G,1,22,375,M9,Sp.2,G1,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.234,H,1,22,375,M9,Sp.3,H1,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.295,E,2,22,375,M9,blank,E2,1,22,NA,NA,NA - NA
0.337,F,2,22,375,M9,Sp.1,F2,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.25,G,2,22,375,M9,Sp.2,G2,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.279,H,2,22,375,M9,Sp.3,H2,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.299,E,3,22,375,M9,blank,E3,1,22,NA,NA,NA - NA
0.33,F,3,22,375,M9,Sp.1,F3,1,22,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.282,G,3,22,375,M9,Sp.2,G3,1,22,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.277,H,3,22,375,M9,Sp.3,H3,1,22,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.36,A,10,23,375,1%-Keratin,Sp.1,A10,1,23,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.363,B,10,23,375,1%-Keratin,Sp.2,B10,1,23,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.388,C,10,23,375,1%-Keratin,Sp.3,C10,1,23,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.364,D,10,23,375,1%-Keratin,blank,D10,1,23,NA,NA,NA - NA
0.368,A,11,23,375,1%-Keratin,Sp.1,A11,1,23,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.373,B,11,23,375,1%-Keratin,Sp.2,B11,1,23,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.383,C,11,23,375,1%-Keratin,Sp.3,C11,1,23,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.376,D,11,23,375,1%-Keratin,blank,D11,1,23,NA,NA,NA - NA
0.377,A,12,23,375,1%-Keratin,Sp.1,A12,1,23,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
